name,nature,tags
3HA & TECHNOLOGIE,Chef d'entreprise,"Agriculture, sylviculture et pêche - Pêche et aquaculture, Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, +16"
Abobos Ltd,Startup / Scale-up,"Information et communication - Activités de services d’information, Information et communication - Programmation et diffusion, Information et communication - Programmation, conseil et autres activités informatiques"
ACROW BRIDGE,Grande entreprise,"Construction - Construction de bâtiments, Construction - Génie civil, Construction - Travaux de construction spécialisés, +1"
ADEOLA JUKEN,Startup / Scale-up,"Activités de services administratifs et de soutien - Activités de location et de location-bail, Autres activités de services - Autres services personnels, Commerce de gros et de détail ; réparation de véhicules automobiles et de motocycles - Commerce de gros et de détail et réparation de véhicules automobiles et de motocycles"
ADIL FARMS,Startup / Scale-up,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes"
AD MARKET,Chef d'entreprise,"Industries manufacturières - Autres industries manufacturières, Activités spécialisées, scientifiques et techniques - Autres activités spécialisées, scientifiques et techniques"
AD TRANS LOGISTICS,Structure étatique,"Transports et entreposage - Transport maritime, Activités spécialisées, scientifiques et techniques - Activités juridiques et comptables, Activités spécialisées, scientifiques et techniques - Activités des sièges sociaux ; conseil en gestion, +1"
AFRICA GOLDEN MARKET,Structure étatique,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Agriculture, sylviculture et pêche - Pêche et aquaculture, +85"
AFRICA GREEN CORPORATION SA,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes"
AFRIMED SARL,Chef d'entreprise,"Construction - Travaux de construction spécialisés, Autres activités de services - Réparation d’ordinateurs et de biens personnels et domestiques"
AGBADJIGAN DOLOU TOGLA SANDRA,Incubateur / Accélérateur / Hub d’innovation,"Activités de services administratifs et de soutien - Activités liées à l’emploi, Éducation - Éducation, Arts, spectacles et activités récréatives - Activités créatives, artistiques et de spectacle, +2"
AGBONA MAHUGNON FREDDY,Auto-entrepreneur,"Information et communication - Programmation, conseil et autres activités informatiques, Information et communication - Programmation et diffusion, Éducation - Éducation"
AGI Sarl,Professionnel / Consultant indépendant,Activités immobilières - Activités immobilières
AGREO,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Pêche et aquaculture, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, +1"
AGRER FARM,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Industries manufacturières - Fabrication de boissons, Industries manufacturières - Fabrication de produits alimentaires"
AKO MECH,PME/PMI,
Alliance Qualité,PME/PMI,"Construction - Construction de bâtiments, Construction - Génie civil, Activités spécialisées, scientifiques et techniques - Activités d’architecture et d’ingénierie ; essais et analyses techniques, +1"
Alvan Blanch,Grande entreprise,Industries manufacturières - Fabrication de machines et équipements n.c.a.
AMAI GROUP,Chef d'entreprise,"Construction - Construction de bâtiments, Construction - Génie civil, Construction - Travaux de construction spécialisés, +23"
AMAVI,Chef d'entreprise,"Activités de services administratifs et de soutien - Services relatifs aux bâtiments et aménagement paysager, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Dépollution et autres services de gestion des déchets, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte, traitement et élimination des déchets ; récupération des matériaux"
ANGI DSN PRO,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Agriculture, sylviculture et pêche - Sylviculture et exploitation forestière, Industries manufacturières - Fabrication de boissons, +23"
Aqua Africa Ltd,Grande entreprise,"Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Captage, traitement et distribution d’eau, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte et traitement des eaux usées, Approvisionnement en eau ; assainissement, gestion des déchets et dépollution - Collecte, traitement et élimination des déchets ; récupération des matériaux, +1"
ARIEL CORP,Structure étatique,"Information et communication - Programmation, conseil et autres activités informatiques"
Assiba Fée S.A.R.L,Entrepreneur,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes"
AVOKANDOTO Narcisse,PME/PMI,"Agriculture, sylviculture et pêche - Production végétale et animale, chasse et services annexes, Hébergement et restauration - Restauration"
AXIAL INGENIERIE,PME/PMI,"Construction - Génie civil, Construction - Construction de bâtiments, Activités immobilières - Activités immobilières, +2"
